Block	TRIAL	TYPE	TR Time
1000 	 FIRST PULSE 	 0 	  0.0000 
1000 	 PRE 	 0 	  0.6343 
1000 	 PRE 	 0 	  1.2697 
1000 	 PRE 	 0 	  1.9032 
1000 	 PRE 	 0 	  2.5383 
1000 	 1 	 1 	 3.173532 
1000 	 1 	 1 	 3.809416 
1000 	 1 	 1 	 4.444453 
1000 	 1 	 1 	 5.079492 
1000 	 1 	 5 	 8.888377 
1000 	 1 	 5 	 9.523421 
1000 	 1 	 5 	 10.158306 
1000 	 1 	 1 	 10.794433 
1000 	 1 	 1 	 11.429404 
1000 	 1 	 1 	 12.064388 
1000 	 1 	 1 	 12.699327 
1000 	 1 	 3 	 13.969118 
1000 	 1 	 3 	 14.604164 
1000 	 1 	 3 	 15.239134 
1000 	 1 	 3 	 15.873044 
1000 	 1 	 42 	 16.508053 
1000 	 2 	 1 	 17.779334 
1000 	 2 	 1 	 18.414293 
1000 	 2 	 1 	 19.049287 
1000 	 2 	 1 	 19.684303 
1000 	 2 	 3 	 21.589004 
1000 	 2 	 3 	 22.222930 
1000 	 2 	 3 	 22.857917 
1000 	 2 	 3 	 23.492957 
1000 	 2 	 40 	 24.128038 
1000 	 2 	 40 	 24.764039 
1000 	 3 	 1 	 25.398877 
1000 	 3 	 1 	 26.034177 
1000 	 3 	 1 	 26.668901 
1000 	 3 	 1 	 27.304207 
1000 	 3 	 1 	 27.939171 
1000 	 3 	 1 	 28.574119 
1000 	 3 	 1 	 29.209108 
1000 	 3 	 3 	 31.113943 
1000 	 3 	 3 	 31.748877 
1000 	 3 	 3 	 32.383861 
1000 	 3 	 3 	 33.018812 
1000 	 3 	 3 	 33.653792 
1000 	 3 	 3 	 34.288713 
1000 	 3 	 3 	 34.923729 
1000 	 3 	 42 	 35.558751 
1000 	 4 	 1 	 36.192582 
1000 	 4 	 1 	 36.827551 
1000 	 4 	 1 	 37.462524 
1000 	 4 	 1 	 38.099033 
1000 	 4 	 7 	 40.638722 
1000 	 4 	 7 	 41.273655 
1000 	 4 	 7 	 41.908598 
1000 	 4 	 7 	 42.543730 
1000 	 4 	 7 	 43.177715 
1000 	 4 	 7 	 43.812712 
1000 	 4 	 7 	 44.448672 
1000 	 4 	 8 	 45.083763 
1000 	 4 	 8 	 45.718637 
1000 	 5 	 1 	 46.353281 
1000 	 5 	 1 	 46.988560 
1000 	 5 	 1 	 47.623921 
1000 	 5 	 1 	 48.258859 
1000 	 5 	 1 	 48.893641 
1000 	 5 	 5 	 52.703635 
1000 	 5 	 5 	 53.338787 
1000 	 5 	 5 	 53.973714 
1000 	 5 	 1 	 54.608902 
1000 	 5 	 1 	 55.243562 
1000 	 5 	 1 	 55.878795 
1000 	 5 	 1 	 56.513693 
1000 	 5 	 1 	 57.147543 
1000 	 5 	 7 	 58.418400 
1000 	 5 	 7 	 59.053538 
1000 	 5 	 8 	 59.688469 
1000 	 6 	 1 	 60.958489 
1000 	 6 	 1 	 61.593649 
1000 	 6 	 1 	 62.228506 
1000 	 6 	 1 	 62.863706 
1000 	 6 	 7 	 64.768473 
1000 	 6 	 7 	 65.403311 
1000 	 6 	 7 	 66.038342 
1000 	 6 	 7 	 66.673317 
1000 	 6 	 7 	 67.308323 
1000 	 6 	 7 	 67.943417 
1000 	 6 	 7 	 68.578391 
1000 	 6 	 8 	 69.213343 
1000 	 6 	 8 	 69.848127 
1000 	 6 	 8 	 69.213343 
1000 	 6 	 8 	 69.848127 
1000 	 7 	 1 	 70.483306 
1000 	 7 	 1 	 71.117593 
1000 	 7 	 1 	 71.753597 
1000 	 7 	 3 	 74.293100 
1000 	 7 	 3 	 74.928486 
1000 	 7 	 3 	 75.563138 
1000 	 7 	 3 	 76.198226 
1000 	 7 	 42 	 76.833291 
1000 	 8 	 1 	 77.468345 
1000 	 8 	 1 	 78.102457 
1000 	 8 	 1 	 78.738259 
1000 	 8 	 1 	 79.373133 
1000 	 8 	 1 	 80.008257 
1000 	 8 	 1 	 80.643480 
1000 	 8 	 3 	 83.818194 
1000 	 8 	 3 	 84.452206 
1000 	 8 	 3 	 85.087137 
1000 	 8 	 3 	 85.723107 
1000 	 8 	 3 	 86.358156 
1000 	 8 	 3 	 86.993144 
1000 	 8 	 3 	 87.628157 
1000 	 8 	 3 	 88.263070 
1000 	 8 	 42 	 88.898078 
1000 	 8 	 42 	 89.533141 
1000 	 9 	 1 	 90.168086 
1000 	 9 	 1 	 90.803136 
1000 	 9 	 1 	 91.436692 
1000 	 9 	 3 	 93.342619 
1000 	 9 	 3 	 93.978079 
1000 	 9 	 3 	 94.613019 
1000 	 9 	 3 	 95.248075 
1000 	 9 	 3 	 95.882999 
1000 	 9 	 40 	 96.518046 
1000 	 10 	 1 	 97.153300 
1000 	 10 	 1 	 97.788054 
1000 	 10 	 1 	 98.423181 
1000 	 10 	 3 	 100.962895 
1000 	 10 	 3 	 101.597926 
1000 	 10 	 3 	 102.232955 
1000 	 10 	 3 	 102.867973 
1000 	 10 	 41 	 103.502662 
1000 	 10 	 41 	 104.137875 
1000 	 10 	 9 	 104.772879 
1000 	 10 	 9 	 105.407856 
1000 	 10 	 9 	 106.042847 
1000 	 10 	 9 	 106.677783 
1000 	 11 	 1 	 107.313155 
1000 	 11 	 1 	 107.948150 
1000 	 11 	 1 	 108.583129 
1000 	 11 	 3 	 111.122774 
1000 	 11 	 3 	 111.757852 
1000 	 11 	 3 	 112.392820 
1000 	 11 	 3 	 113.027826 
1000 	 11 	 40 	 113.662756 
1000 	 12 	 1 	 114.932774 
1000 	 12 	 1 	 115.568082 
1000 	 12 	 1 	 116.202961 
1000 	 12 	 3 	 118.742776 
1000 	 12 	 3 	 119.377743 
1000 	 12 	 3 	 120.012729 
1000 	 12 	 3 	 120.647723 
1000 	 12 	 40 	 121.282435 
1000 	 12 	 40 	 121.917638 
1000 	 13 	 1 	 122.552715 
1000 	 13 	 1 	 123.187971 
1000 	 13 	 1 	 123.822874 
1000 	 13 	 1 	 124.457584 
1000 	 13 	 1 	 125.092654 
1000 	 13 	 7 	 127.632621 
1000 	 13 	 7 	 128.267625 
1000 	 13 	 7 	 128.902627 
1000 	 13 	 8 	 129.537620 
1000 	 13 	 8 	 129.537620 
1000 	 14 	 1 	 130.172866 
1000 	 14 	 1 	 130.807465 
1000 	 14 	 1 	 131.442627 
1000 	 14 	 1 	 132.077742 
1000 	 14 	 1 	 132.712830 
1000 	 14 	 3 	 134.617547 
1000 	 14 	 3 	 135.252531 
1000 	 14 	 3 	 135.887554 
1000 	 14 	 3 	 136.522509 
1000 	 14 	 42 	 137.157522 
1000 	 14 	 42 	 137.792443 
1000 	 15 	 1 	 138.427239 
1000 	 15 	 1 	 139.062748 
1000 	 15 	 1 	 139.698794 
